Date,Product_ID,Product_Name,Category,Base_Price,Current_Price,Discount,Actual_Price,Competitor_Price,Units_Sold,Inventory,Holiday_Flag,Weekend_Flag,Month,Day_of_Week,Quarter,Revenue,Price_Gap,Price_Gap_Pct,Inventory_Level,Season,Is_Discounted,Price_to_Base_Ratio
2023-01-01,LAPTOP001,Laptop Pro,Laptops,75000,72177.15,0.0,72177.15,88521.43,205,258,1,1,1,6,1,14796316.3,-16344.279999999999,-0.1846364208079332,Medium,Winter,0,0.9623619999999999
2023-01-02,LAPTOP001,Laptop Pro,Laptops,75000,77219.82,0.0,77219.82,64680.56,84,174,0,0,1,0,1,6486464.54,12539.26000000001,0.19386443160046868,Medium,Winter,0,1.0295976
2023-01-03,LAPTOP001,Laptop Pro,Laptops,75000,65056.88,0.15,55298.35,85985.28,179,270,0,0,1,1,1,9898404.49,-30686.93,-0.35688585302042397,Medium,Winter,1,0.7373113333333333
2023-01-04,LAPTOP001,Laptop Pro,Laptops,75000,79681.63,0.0,79681.63,60617.53,94,176,0,0,1,2,1,7490073.5,19064.100000000006,0.3144981328008582,Medium,Winter,0,1.0624217333333335
2023-01-05,LAPTOP001,Laptop Pro,Laptops,75000,82479.96,0.0,82479.96,66370.17,73,103,0,0,1,3,1,6021037.04,16109.790000000008,0.24272636336474668,Low,Winter,0,1.0997328000000002
2023-01-06,LAPTOP001,Laptop Pro,Laptops,75000,67876.6,0.0,67876.6,69127.27,103,388,0,0,1,4,1,6991289.95,-1250.6699999999983,-0.01809228109254131,High,Winter,0,0.9050213333333335
2023-01-07,LAPTOP001,Laptop Pro,Laptops,75000,73468.76,0.0,73468.76,68736.87,131,257,0,1,1,5,1,9624407.94,4731.889999999999,0.06884063821934283,Medium,Winter,0,0.9795834666666666
2023-01-08,LAPTOP001,Laptop Pro,Laptops,75000,66888.61,0.15,56855.32,68764.34,246,389,0,1,1,6,1,13986408.74,-11909.019999999997,-0.17318598564314,High,Winter,1,0.7580709333333333
2023-01-09,LAPTOP001,Laptop Pro,Laptops,75000,74011.57,0.1,66610.42,83555.28,163,226,0,0,1,0,1,10857498.0,-16944.86,-0.202798195398304,Medium,Winter,1,0.8881389333333333
2023-01-10,LAPTOP001,Laptop Pro,Laptops,75000,75320.27,0.0,75320.27,77772.44,95,131,0,0,1,1,1,7155426.11,-2452.1699999999983,-0.03153006386323996,Low,Winter,0,1.0042702666666667
2023-01-11,LAPTOP001,Laptop Pro,Laptops,75000,77419.76,0.1,69677.78,65115.72,113,308,0,0,1,2,1,7873589.51,4562.059999999998,0.07006080866494292,High,Winter,1,0.9290370666666666
2023-01-12,LAPTOP001,Laptop Pro,Laptops,75000,85099.92,0.0,85099.92,88968.96,97,211,0,0,1,3,1,8254692.69,-3869.040000000008,-0.04348752643618637,Medium,Winter,0,1.1346656
2023-01-13,LAPTOP001,Laptop Pro,Laptops,75000,70603.81,0.0,70603.81,62930.16,121,90,0,0,1,4,1,8543060.99,7673.649999999994,0.1219391465078111,Low,Winter,0,0.9413841333333333
2023-01-14,LAPTOP001,Laptop Pro,Laptops,75000,73653.43,0.0,73653.43,63661.15,89,255,0,1,1,5,1,6555155.37,9992.279999999992,0.1569604067787024,Medium,Winter,0,0.9820457333333332
2023-01-15,LAPTOP001,Laptop Pro,Laptops,75000,64523.74,0.0,64523.74,87279.61,173,82,0,1,1,6,1,11162607.32,-22755.870000000003,-0.26072378187757717,Low,Winter,0,0.8603165333333334
2023-01-16,LAPTOP001,Laptop Pro,Laptops,75000,78656.75,0.1,70791.08,69351.33,82,354,0,0,1,0,1,5804868.25,1439.75,0.02076023632135101,High,Winter,1,0.9438810666666667
2023-01-17,LAPTOP001,Laptop Pro,Laptops,75000,76050.98,0.0,76050.98,65545.63,112,242,0,0,1,1,1,8517709.9,10505.349999999991,0.1602753684723145,Medium,Winter,0,1.0140130666666667
2023-01-18,LAPTOP001,Laptop Pro,Laptops,75000,81190.49,0.1,73071.44,88184.97,167,75,0,0,1,2,1,12202930.43,-15113.529999999999,-0.17138442072384896,Low,Winter,1,0.9742858666666667
2023-01-19,LAPTOP001,Laptop Pro,Laptops,75000,77202.75,0.0,77202.75,87656.23,65,383,0,0,1,3,1,5018178.72,-10453.479999999996,-0.11925541401906055,High,Winter,0,1.02937
2023-01-20,LAPTOP001,Laptop Pro,Laptops,75000,68159.61,0.15,57935.67,61356.82,221,162,0,0,1,4,1,12803783.57,-3421.1500000000015,-0.05575826778506451,Medium,Winter,1,0.7724755999999999
2023-01-21,LAPTOP001,Laptop Pro,Laptops,75000,72495.24,0.15,61620.95,68140.47,177,339,0,1,1,5,1,10906908.71,-6519.520000000004,-0.09567764942038122,High,Winter,1,0.8216126666666667
2023-01-22,LAPTOP001,Laptop Pro,Laptops,75000,71776.95,0.05,68188.1,68428.04,167,172,0,1,1,6,1,11387413.09,-239.93999999998778,-0.003506457294407202,Medium,Winter,1,0.9091746666666668
2023-01-23,LAPTOP001,Laptop Pro,Laptops,75000,66920.8,0.0,66920.8,84065.91,129,314,0,0,1,0,1,8632782.56,-17145.11,-0.20394842570549704,High,Winter,0,0.8922773333333334
2023-01-24,LAPTOP001,Laptop Pro,Laptops,75000,85954.96,0.1,77359.46,83167.34,117,197,0,0,1,1,1,9051056.87,-5807.87999999999,-0.06983366307014256,Medium,Winter,1,1.0314594666666668
2023-01-25,LAPTOP001,Laptop Pro,Laptops,75000,63874.25,0.0,63874.25,84463.84,174,201,0,0,1,2,1,11114119.09,-20589.589999999997,-0.24376810242110702,Medium,Winter,0,0.8516566666666666
2023-01-26,LAPTOP001,Laptop Pro,Laptops,75000,80152.66,0.2,64122.13,83138.11,175,240,1,0,1,3,1,11221372.58,-19015.980000000003,-0.22872759556357491,Medium,Winter,1,0.8549617333333333
2023-01-27,LAPTOP001,Laptop Pro,Laptops,75000,71815.48,0.15,61043.16,63476.07,234,308,0,0,1,4,1,14284098.75,-2432.909999999996,-0.03832798722416174,High,Winter,1,0.8139088000000001
2023-01-28,LAPTOP001,Laptop Pro,Laptops,75000,77774.21,0.0,77774.21,69926.94,97,211,0,1,1,5,1,7544098.16,7847.270000000004,0.11222098378679238,Medium,Winter,0,1.0369894666666668
2023-01-29,LAPTOP001,Laptop Pro,Laptops,75000,70747.1,0.0,70747.1,69755.5,149,62,0,1,1,6,1,10541318.23,991.6000000000058,0.014215366530237843,Low,Winter,0,0.9432946666666667
2023-01-30,LAPTOP001,Laptop Pro,Laptops,75000,78095.04,0.0,78095.04,86616.38,61,255,0,0,1,0,1,4763797.63,-8521.340000000011,-0.09838023708679594,Medium,Winter,0,1.0412671999999998
2023-01-31,LAPTOP001,Laptop Pro,Laptops,75000,66440.87,0.2,53152.7,81397.34,274,286,0,0,1,1,1,14563838.82,-28244.64,-0.34699708860264966,Medium,Winter,1,0.7087026666666666
2023-02-01,LAPTOP001,Laptop Pro,Laptops,75000,76378.74,0.0,76378.74,83129.02,100,186,0,0,2,2,1,7637873.69,-6750.279999999999,-0.08120244891615465,Medium,Winter,0,1.0183832000000002
2023-02-02,LAPTOP001,Laptop Pro,Laptops,75000,75511.49,0.0,75511.49,72826.23,83,103,0,0,2,3,1,6267453.56,2685.2600000000093,0.03687215444215648,Low,Winter,0,1.0068198666666668
2023-02-03,LAPTOP001,Laptop Pro,Laptops,75000,66177.56,0.05,62868.68,60942.88,107,224,0,0,2,4,1,6726948.68,1925.800000000003,0.0316000819127682,Medium,Winter,1,0.8382490666666667
2023-02-04,LAPTOP001,Laptop Pro,Laptops,75000,70823.01,0.0,70823.01,75257.12,147,77,0,1,2,5,1,10410982.41,-4434.110000000001,-0.05891947499452545,Low,Winter,0,0.9443067999999999
2023-02-05,LAPTOP001,Laptop Pro,Laptops,75000,69359.08,0.2,55487.26,72311.49,82,288,0,1,2,6,1,4549955.33,-16824.230000000003,-0.23266330150298387,Medium,Winter,1,0.7398301333333334
