Date,Product_ID,Product_Name,Category,Base_Price,Current_Price,Discount,Actual_Price,Competitor_Price,Units_Sold,Inventory,Holiday_Flag,Weekend_Flag,Month,Day_of_Week,Quarter,Revenue
2023-01-01,LAPTOP001,Laptop Pro,Laptops,75000,72177.15,0.0,72177.15,88521.43,205,258,1,1,1,6,1,14796316.3
2023-01-02,LAPTOP001,Laptop Pro,Laptops,75000,77219.82,0.0,77219.82,64680.56,84,174,0,0,1,0,1,6486464.54
2023-01-03,LAPTOP001,Laptop Pro,Laptops,75000,65056.88,0.15,55298.35,85985.28,179,270,0,0,1,1,1,9898404.49
2023-01-04,LAPTOP001,Laptop Pro,Laptops,75000,79681.63,0.0,79681.63,60617.53,94,176,0,0,1,2,1,7490073.5
2023-01-05,LAPTOP001,Laptop Pro,Laptops,75000,82479.96,0.0,82479.96,66370.17,73,103,0,0,1,3,1,6021037.04
2023-01-06,LAPTOP001,Laptop Pro,Laptops,75000,67876.6,0.0,67876.6,69127.27,103,388,0,0,1,4,1,6991289.95
2023-01-07,LAPTOP001,Laptop Pro,Laptops,75000,73468.76,0.0,73468.76,68736.87,131,257,0,1,1,5,1,9624407.94
2023-01-08,LAPTOP001,Laptop Pro,Laptops,75000,66888.61,0.15,56855.32,68764.34,246,389,0,1,1,6,1,13986408.74
2023-01-09,LAPTOP001,Laptop Pro,Laptops,75000,74011.57,0.1,66610.42,83555.28,163,226,0,0,1,0,1,10857498.0
2023-01-10,LAPTOP001,Laptop Pro,Laptops,75000,75320.27,0.0,75320.27,77772.44,95,131,0,0,1,1,1,7155426.11
2023-01-11,LAPTOP001,Laptop Pro,Laptops,75000,77419.76,0.1,69677.78,65115.72,113,308,0,0,1,2,1,7873589.51
2023-01-12,LAPTOP001,Laptop Pro,Laptops,75000,85099.92,0.0,85099.92,88968.96,97,211,0,0,1,3,1,8254692.69
2023-01-13,LAPTOP001,Laptop Pro,Laptops,75000,70603.81,0.0,70603.81,62930.16,121,90,0,0,1,4,1,8543060.99
2023-01-14,LAPTOP001,Laptop Pro,Laptops,75000,73653.43,0.0,73653.43,63661.15,89,255,0,1,1,5,1,6555155.37
2023-01-15,LAPTOP001,Laptop Pro,Laptops,75000,64523.74,0.0,64523.74,87279.61,173,82,0,1,1,6,1,11162607.32
2023-01-16,LAPTOP001,Laptop Pro,Laptops,75000,78656.75,0.1,70791.08,69351.33,82,354,0,0,1,0,1,5804868.25
2023-01-17,LAPTOP001,Laptop Pro,Laptops,75000,76050.98,0.0,76050.98,65545.63,112,242,0,0,1,1,1,8517709.9
2023-01-18,LAPTOP001,Laptop Pro,Laptops,75000,81190.49,0.1,73071.44,88184.97,167,75,0,0,1,2,1,12202930.43
2023-01-19,LAPTOP001,Laptop Pro,Laptops,75000,77202.75,0.0,77202.75,87656.23,65,383,0,0,1,3,1,5018178.72
2023-01-20,LAPTOP001,Laptop Pro,Laptops,75000,68159.61,0.15,57935.67,61356.82,221,162,0,0,1,4,1,12803783.57
2023-01-21,LAPTOP001,Laptop Pro,Laptops,75000,72495.24,0.15,61620.95,68140.47,177,339,0,1,1,5,1,10906908.71
2023-01-22,LAPTOP001,Laptop Pro,Laptops,75000,71776.95,0.05,68188.1,68428.04,167,172,0,1,1,6,1,11387413.09
2023-01-23,LAPTOP001,Laptop Pro,Laptops,75000,66920.8,0.0,66920.8,84065.91,129,314,0,0,1,0,1,8632782.56
2023-01-24,LAPTOP001,Laptop Pro,Laptops,75000,85954.96,0.1,77359.46,83167.34,117,197,0,0,1,1,1,9051056.87
2023-01-25,LAPTOP001,Laptop Pro,Laptops,75000,63874.25,0.0,63874.25,84463.84,174,201,0,0,1,2,1,11114119.09
2023-01-26,LAPTOP001,Laptop Pro,Laptops,75000,80152.66,0.2,64122.13,83138.11,175,240,1,0,1,3,1,11221372.58
2023-01-27,LAPTOP001,Laptop Pro,Laptops,75000,71815.48,0.15,61043.16,63476.07,234,308,0,0,1,4,1,14284098.75
2023-01-28,LAPTOP001,Laptop Pro,Laptops,75000,77774.21,0.0,77774.21,69926.94,97,211,0,1,1,5,1,7544098.16
2023-01-29,LAPTOP001,Laptop Pro,Laptops,75000,70747.1,0.0,70747.1,69755.5,149,62,0,1,1,6,1,10541318.23
2023-01-30,LAPTOP001,Laptop Pro,Laptops,75000,78095.04,0.0,78095.04,86616.38,61,255,0,0,1,0,1,4763797.63
2023-01-31,LAPTOP001,Laptop Pro,Laptops,75000,66440.87,0.2,53152.7,81397.34,274,286,0,0,1,1,1,14563838.82
